experiment,slug,title,source_id,source_commit,experiment_commit,kaggle_submission,public_score,status,reproducibility,main_sha256,deck_sha256,archive_sha256,local_generated_package,upstream_notebook_urls,upstream_version_pinned
010,resubmit-crustle-specific,010 Resubmit Crustle Specific,6de341ae762f-9c2647bd80d5,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,ad99357b3f126ccd69624c0881b44f1254c8dc4b,53791955,885.6,complete,source_exact_runtime_required,6de341ae762f15a7d926f5359e783e189bf25d5a0cff5ec69f78a954d0bdb6d3,9c2647bd80d51bfd9cf89c74026e6a53607903b94cae9c235fad0c2128aad3aa,2601196d87a13f9bf8cd7357816b22cc1b4070f1ee106caa4023acb83fff5a6a,artifacts/submissions/s010-resubmit-crustle-specific.tar.gz,,
011,final-strongstart-retuned,011 Final Strong Start Retuned,ccffdb6e8565-fd2fc062ffc2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,09ab873c17f7c88650daeb7865f6de0947b5ac1f,53792068,885.8,complete,source_exact_runtime_required,ccffdb6e85658dedf21dd3f9829b97bc29a1a2a30e986f79054d86796bfdab12,fd2fc062ffc23c5a4f77f30c05d2fc1d08a7bade73e1dc67e1dd547192fd46b3,56b88bed0505621ceac4a15c52b1f8984a1c759a186786512e7164afe0ae8449,artifacts/submissions/s011-final-strongstart-retuned.tar.gz,,
012,roman-v7-guarded,012 Roman V7 Guarded,99d17e097d2e-fd2fc062ffc2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,23a31ec4a491bb4446659bea39af8042ac2d6d58,53827461,748.4,complete,source_exact_runtime_required,99d17e097d2e3ffddefe958679e9ee0441e41c239084883863ad0dbaef8670a6,fd2fc062ffc23c5a4f77f30c05d2fc1d08a7bade73e1dc67e1dd547192fd46b3,26d58c3639731a0e68a3955397911ba3d096c3c296557b936c0737b59fe4c996,artifacts/submissions/s012-roman-v7-guarded.tar.gz,,
013,lucario-search-915,013 Lucario Search 915,8026b86be33f-b4464eb525a2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,533e9fb0edc29830a96894a6c119eafbcab5c508,53827594,858.4,complete,source_exact_runtime_required,8026b86be33fdec0fcb60051c6adecf91a3ecd9cbbff539fb0a0c617d1601ad3,b4464eb525a25e6598a972d00efc5e5b5156372e77f51853f4076d8ebb34fd7d,01cabfc29cec1a49c2d2c270e3776c6b77e25064c22b726515dd8a53c882af76,artifacts/submissions/s013-lucario-search-915.tar.gz,,
014,yaroslav-lucario-v2,014 Yaroslav Lucario V2,fddcbcde82cd-b4464eb525a2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,9272a0dfab1e9d50e98c1acaa44999ef63891c73,53827710,681.2,complete,source_exact_runtime_required,fddcbcde82cd7b5b4f6a1c1644ec544fc0d7916184f12280c60b34e06076b540,b4464eb525a25e6598a972d00efc5e5b5156372e77f51853f4076d8ebb34fd7d,c54075571eb6c9f7b7c18c8a4ba5301880ec16f45ecfb50f41899ddd02aea320,artifacts/submissions/s014-yaroslav-lucario-v2.tar.gz,,
015,latest-two-guard-strongstart,015 Latest Two Guard Strong Start,ccffdb6e8565-fd2fc062ffc2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,bdb809be4838fd09a1fa6613feb7b7ce685f980a,53827828,694.3,complete,source_exact_runtime_required,ccffdb6e85658dedf21dd3f9829b97bc29a1a2a30e986f79054d86796bfdab12,fd2fc062ffc23c5a4f77f30c05d2fc1d08a7bade73e1dc67e1dd547192fd46b3,76fbf6bcf5ea8ede74de5e12dd0b3e2784cca1cc925416fb6f8e7c1823955890,artifacts/submissions/s015-latest-two-guard-strongstart.tar.gz,,
016,latest-two-guard-lucario-full,016 Latest Two Guard Lucario Full,9154a80b62c1-b4464eb525a2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,6cd89bdd3f082a93488a2e18c15136e0d1ba6767,53827932,746.6,complete,source_exact_runtime_required,9154a80b62c1eb67fcda5273bc637e97d337f8efff85734ffd7719a07a796d6f,b4464eb525a25e6598a972d00efc5e5b5156372e77f51853f4076d8ebb34fd7d,5ef08fe9e6011f42099b6c08bc052e2923f124626d98c30cff52bb76815ef527,artifacts/submissions/s016-latest-two-guard-lucario-full.tar.gz,,
017,maktha-1084-baseline,017 Maktha 1084 Baseline,459cf970d9ff-2a541d7bf3d9,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,39a3a67855f0e4fee28b9607e66c21ec702f3e5b,53864132,673.0,complete,source_exact_runtime_required,459cf970d9ffc28fcb13473cff216750f17d53a35fa990fcab1805e00e78a848,2a541d7bf3d9e6b36037123f53f4dfef6348223f79fd27095dafc602a5357c19,e5d5dfa2f384066e021582b349b9bbab5605236dba9dbcca6580456269d78180,artifacts/submissions/s017-maktha-1084-baseline.tar.gz,https://www.kaggle.com/code/pilkwang/pok-mon-tcg-ai-battle-meta-snapshot-18-july,false
018,reroll-lucario-full,018 Reroll Lucario Full,9154a80b62c1-b4464eb525a2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,0d1150eca09da995934eb5d7b72501158d444b67,53864259,838.3,complete,source_exact_runtime_required,9154a80b62c1eb67fcda5273bc637e97d337f8efff85734ffd7719a07a796d6f,b4464eb525a25e6598a972d00efc5e5b5156372e77f51853f4076d8ebb34fd7d,eb5ea93cce00a1ffcab9a458f63213c239a0ebeb3293df929b1b0707eda62bf3,artifacts/submissions/s018-reroll-lucario-full.tar.gz,,
019,reroll-strongstart-retuned,019 Reroll Strong Start Retuned,ccffdb6e8565-fd2fc062ffc2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,651b5109a3cc56080989af9ce62be7f858ffbfa5,53864336,550.1,complete,source_exact_runtime_required,ccffdb6e85658dedf21dd3f9829b97bc29a1a2a30e986f79054d86796bfdab12,fd2fc062ffc23c5a4f77f30c05d2fc1d08a7bade73e1dc67e1dd547192fd46b3,94cbfdb382c95667b83218b4f2e735bea659ff37e4a16fd262475eca134723fb,artifacts/submissions/s019-reroll-strongstart-retuned.tar.gz,,
020,reroll-crustle-specific,020 Reroll Crustle Specific,6de341ae762f-9c2647bd80d5,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,36da5a2ce71f3a728b81a70c27cd55bd45dbf951,53864421,783.2,complete,source_exact_runtime_required,6de341ae762f15a7d926f5359e783e189bf25d5a0cff5ec69f78a954d0bdb6d3,9c2647bd80d51bfd9cf89c74026e6a53607903b94cae9c235fad0c2128aad3aa,bfeb72446b4946f5b5397c10e9d2cf187508a43ebb5467dcc4707a4b84d6f6a8,artifacts/submissions/s020-reroll-crustle-specific.tar.gz,,
021,final-lucario-full,021 Final Lucario Full,9154a80b62c1-b4464eb525a2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,64ab1c2e9df398db5ba8a993ec9710be3ca0dfca,53864476,807.4,complete,source_exact_runtime_required,9154a80b62c1eb67fcda5273bc637e97d337f8efff85734ffd7719a07a796d6f,b4464eb525a25e6598a972d00efc5e5b5156372e77f51853f4076d8ebb34fd7d,cdf9363509ec1f3a3da694dae800ef437d49b17b3e07ddd5106c4c30a7bec8c6,artifacts/submissions/s021-final-lucario-full.tar.gz,,
022,guard-lucario-full-reroll,022 Guard Lucario Full Reroll,9154a80b62c1-b4464eb525a2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,c0bba76b0373ffaefaa39fcc893f5c9b21e24c5f,53906929,637.9,complete,source_exact_runtime_required,9154a80b62c1eb67fcda5273bc637e97d337f8efff85734ffd7719a07a796d6f,b4464eb525a25e6598a972d00efc5e5b5156372e77f51853f4076d8ebb34fd7d,3b5d06600c07274f4a289496eee1ec0ab303620f641824463817e3766f46740b,artifacts/submissions/s009-resubmit-lucario-full.tar.gz,,
023,crustle-specific-high-diversity-reroll,023 Crustle Specific High Diversity Reroll,6de341ae762f-9c2647bd80d5,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,7adbc8769898e977a39e1e05cb8b424eed907881,53907042,828.6,complete,source_exact_runtime_required,6de341ae762f15a7d926f5359e783e189bf25d5a0cff5ec69f78a954d0bdb6d3,9c2647bd80d51bfd9cf89c74026e6a53607903b94cae9c235fad0c2128aad3aa,2601196d87a13f9bf8cd7357816b22cc1b4070f1ee106caa4023acb83fff5a6a,artifacts/submissions/s010-resubmit-crustle-specific.tar.gz,,
024,alakazam-psychic-control,024 Alakazam Psychic Control,df4d597f5939-7b413177e507,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,2bb01b7f2afab805abe52654b47dd6890d6ba651,53907175,713.2,complete,source_exact_runtime_required,df4d597f593950b0d0c372f3e0bb26c182c4116648977f15adbb329a6ba922f4,7b413177e5077777f2178143839c0155b03b92bbc8b3a6607621a7d43f351141,8e159d365bd488c1cd50bd5367b59080649bdf421584c1f1bda36541f8bedc7f,artifacts/submissions/s024-alakazam-psychic-control.tar.gz,,
025,final-latest-two-strongstart-guard,025 Final Latest-Two Strongstart Guard,ccffdb6e8565-fd2fc062ffc2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,f48f2e37454f2d27c99334d01fd1ffb89ebae5e6,53907297,778.0,complete,source_exact_runtime_required,ccffdb6e85658dedf21dd3f9829b97bc29a1a2a30e986f79054d86796bfdab12,fd2fc062ffc23c5a4f77f30c05d2fc1d08a7bade73e1dc67e1dd547192fd46b3,56b88bed0505621ceac4a15c52b1f8984a1c759a186786512e7164afe0ae8449,artifacts/submissions/s011-final-strongstart-retuned.tar.gz,,
026,final-latest-two-lucario-full-guard,026 Final Latest-Two Lucario Full Guard,9154a80b62c1-b4464eb525a2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,fd44156c3892753cc990c8bda1ed62c2adb46696,53907370,632.7,complete,source_exact_runtime_required,9154a80b62c1eb67fcda5273bc637e97d337f8efff85734ffd7719a07a796d6f,b4464eb525a25e6598a972d00efc5e5b5156372e77f51853f4076d8ebb34fd7d,3b5d06600c07274f4a289496eee1ec0ab303620f641824463817e3766f46740b,artifacts/submissions/s009-resubmit-lucario-full.tar.gz,,
027,roman-v10-strong-start-baseline,027 Roman V10 Strong Start Baseline,db3772cc387b-fd2fc062ffc2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,5052fe80e9e31461783d4f75ff0c7b1bc0108bcb,53945192,652.0,complete,source_exact_runtime_required,db3772cc387b2a6106bb18344708093576beebd5de5f7ba994e8bb79855eeced,fd2fc062ffc23c5a4f77f30c05d2fc1d08a7bade73e1dc67e1dd547192fd46b3,1c5140f8ae88caf8743e950a3a1726a3ee1289bce71f599e155c286f7433ba0d,artifacts/submissions/s027-roman-v10-strong-start-baseline.tar.gz,,
028,naoto-hop-alakazam-target,028 Naoto Hop Alakazam Target,635999b1a0f7-e07b796d823c,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,2bf359e3a02ff6da2f4180302e74658dbbe51c60,53945346,783.9,complete,source_exact_runtime_required,635999b1a0f7970e70c17bb591c21b7576ddc83889ef5f50b76b8687ced5b09d,e07b796d823cbbfec98ccd6a1038527321264f0357afa7f60a021cf92066e510,f22ce7fd4654291da2d66b92945913f16ff6cf1f267b4fbe2e23db5e0a2c3fda,artifacts/submissions/s028-naoto-hop-alakazam-target.tar.gz,,
029,lucario-search-915-reroll,029 Lucario Search 915 Reroll,8026b86be33f-b4464eb525a2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,15b763528933b4ff8abd780c54cc75b115ea0806,53945452,768.8,complete,source_exact_runtime_required,8026b86be33fdec0fcb60051c6adecf91a3ecd9cbbff539fb0a0c617d1601ad3,b4464eb525a25e6598a972d00efc5e5b5156372e77f51853f4076d8ebb34fd7d,01cabfc29cec1a49c2d2c270e3776c6b77e25064c22b726515dd8a53c882af76,artifacts/submissions/s013-lucario-search-915.tar.gz,,
030,crustle-specific-guard-reroll,030 Crustle Specific Guard Reroll,6de341ae762f-9c2647bd80d5,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,80af83a0a2572480320f733dfcb61a7b4adf9de5,53945532,782.1,complete,source_exact_runtime_required,6de341ae762f15a7d926f5359e783e189bf25d5a0cff5ec69f78a954d0bdb6d3,9c2647bd80d51bfd9cf89c74026e6a53607903b94cae9c235fad0c2128aad3aa,2601196d87a13f9bf8cd7357816b22cc1b4070f1ee106caa4023acb83fff5a6a,artifacts/submissions/s010-resubmit-crustle-specific.tar.gz,,
031,final-crustle-specific-guard,031 Final Crustle Specific Guard,6de341ae762f-9c2647bd80d5,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,697db296ecc264da02367019a28cf69a2a1077f8,53945640,752.8,complete,source_exact_runtime_required,6de341ae762f15a7d926f5359e783e189bf25d5a0cff5ec69f78a954d0bdb6d3,9c2647bd80d51bfd9cf89c74026e6a53607903b94cae9c235fad0c2128aad3aa,2601196d87a13f9bf8cd7357816b22cc1b4070f1ee106caa4023acb83fff5a6a,artifacts/submissions/s010-resubmit-crustle-specific.tar.gz,,
032,naoto-hop-alakazam-target-reroll,032 Naoto Hop Alakazam Target Reroll,635999b1a0f7-e07b796d823c,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,2aeb18cefe57069341727d1292745bf87ff1c255,53961105,854.6,complete,source_exact_runtime_required,635999b1a0f7970e70c17bb591c21b7576ddc83889ef5f50b76b8687ced5b09d,e07b796d823cbbfec98ccd6a1038527321264f0357afa7f60a021cf92066e510,f22ce7fd4654291da2d66b92945913f16ff6cf1f267b4fbe2e23db5e0a2c3fda,artifacts/submissions/s028-naoto-hop-alakazam-target.tar.gz,,
033,lucario-search-915-guard-reroll,033 Lucario Search 915 Guard Reroll,8026b86be33f-b4464eb525a2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,480c5c45b3b0c24e9154214907883e3e392a56ac,53961230,737.1,complete,source_exact_runtime_required,8026b86be33fdec0fcb60051c6adecf91a3ecd9cbbff539fb0a0c617d1601ad3,b4464eb525a25e6598a972d00efc5e5b5156372e77f51853f4076d8ebb34fd7d,01cabfc29cec1a49c2d2c270e3776c6b77e25064c22b726515dd8a53c882af76,artifacts/submissions/s013-lucario-search-915.tar.gz,,
034,strongstart-retuned-guard-probe,034 Strongstart Retuned Guard Probe,ccffdb6e8565-fd2fc062ffc2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,180773466ef4ec7b4893c655604306284d00f9f2,53961368,686.7,complete,source_exact_runtime_required,ccffdb6e85658dedf21dd3f9829b97bc29a1a2a30e986f79054d86796bfdab12,fd2fc062ffc23c5a4f77f30c05d2fc1d08a7bade73e1dc67e1dd547192fd46b3,56b88bed0505621ceac4a15c52b1f8984a1c759a186786512e7164afe0ae8449,artifacts/submissions/s011-final-strongstart-retuned.tar.gz,,
035,crustle-specific-latest-two-guard,035 Crustle Specific Latest-Two Guard,6de341ae762f-9c2647bd80d5,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,586a6f005db6f4311fca59aef411bc559b56019a,53961501,709.0,complete,source_exact_runtime_required,6de341ae762f15a7d926f5359e783e189bf25d5a0cff5ec69f78a954d0bdb6d3,9c2647bd80d51bfd9cf89c74026e6a53607903b94cae9c235fad0c2128aad3aa,2601196d87a13f9bf8cd7357816b22cc1b4070f1ee106caa4023acb83fff5a6a,artifacts/submissions/s010-resubmit-crustle-specific.tar.gz,,
036,final-naoto-hop-alakazam-guard,036 Final Naoto Hop Alakazam Guard,635999b1a0f7-e07b796d823c,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,0c080ec17ee2f1751cc233c7a9737e1ef7c361ee,53961608,1027.6,complete,source_exact_runtime_required,635999b1a0f7970e70c17bb591c21b7576ddc83889ef5f50b76b8687ced5b09d,e07b796d823cbbfec98ccd6a1038527321264f0357afa7f60a021cf92066e510,f22ce7fd4654291da2d66b92945913f16ff6cf1f267b4fbe2e23db5e0a2c3fda,artifacts/submissions/s028-naoto-hop-alakazam-target.tar.gz,,
037,naoto-hop-alakazam-refreshed-guard,037 Naoto Hop Alakazam Refreshed Guard,635999b1a0f7-e07b796d823c,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,d35cb5431d6c5f28650bf14cf27c0e1ba19040b2,54010123,822.1,complete,source_exact_runtime_required,635999b1a0f7970e70c17bb591c21b7576ddc83889ef5f50b76b8687ced5b09d,e07b796d823cbbfec98ccd6a1038527321264f0357afa7f60a021cf92066e510,f22ce7fd4654291da2d66b92945913f16ff6cf1f267b4fbe2e23db5e0a2c3fda,artifacts/submissions/s028-naoto-hop-alakazam-target.tar.gz,,
038,kokinn-diary-day3-il-rerank,038 Kokinn Diary Day3 IL Rerank,277e535bc522-8e7519fa37f0,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,22b61574605a2667ad3e5a68b20e957c4dc4e65c,54010287,619.5,complete,source_exact_runtime_required,277e535bc52277cfdaaa7b69abe15dc194b96085a4131b07ab7c7b22363e1347,8e7519fa37f05af6960f6872e8abb28dcff12b8516977145d528036b63fa05d1,335c68941f37e1b5f66109871b661d69893d7fbeb648dedb416cc2c6e30b17a4,artifacts/submissions/s038-kokinn-diary-day3-il-rerank.tar.gz,,
039,maktha-1084-latest-probe,039 Maktha 1084 Latest Probe,459cf970d9ff-2a541d7bf3d9,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,fc7af2de1b1c65d403dc2969e9ef12098737db35,54010393,609.0,complete,source_exact_runtime_required,459cf970d9ffc28fcb13473cff216750f17d53a35fa990fcab1805e00e78a848,2a541d7bf3d9e6b36037123f53f4dfef6348223f79fd27095dafc602a5357c19,bc938d600a78d5c6bfb2d1f77900f728a64f011e16c065a2939acf376a721b35,artifacts/submissions/s033-maktha-1084-latest.tar.gz,https://www.kaggle.com/code/pilkwang/pok-mon-tcg-ai-battle-meta-snapshot-18-july,false
040,crustle-specific-guard-reroll,040 Crustle Specific Guard Reroll,6de341ae762f-9c2647bd80d5,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,6d321780ac5c3738c5021b64bdeffbf317d553e9,54010479,787.1,complete,source_exact_runtime_required,6de341ae762f15a7d926f5359e783e189bf25d5a0cff5ec69f78a954d0bdb6d3,9c2647bd80d51bfd9cf89c74026e6a53607903b94cae9c235fad0c2128aad3aa,2601196d87a13f9bf8cd7357816b22cc1b4070f1ee106caa4023acb83fff5a6a,artifacts/submissions/s010-resubmit-crustle-specific.tar.gz,,
041,final-naoto-hop-alakazam-guard,041 Final Naoto Hop Alakazam Guard,635999b1a0f7-e07b796d823c,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,6caae6202a13f1e4a40b98043b135a1b682b80b1,54010591,835.2,complete,source_exact_runtime_required,635999b1a0f7970e70c17bb591c21b7576ddc83889ef5f50b76b8687ced5b09d,e07b796d823cbbfec98ccd6a1038527321264f0357afa7f60a021cf92066e510,f22ce7fd4654291da2d66b92945913f16ff6cf1f267b4fbe2e23db5e0a2c3fda,artifacts/submissions/s028-naoto-hop-alakazam-target.tar.gz,,
042,souta-libraryout-crustle-great-tusk,042 Souta LibraryOut Crustle Great Tusk,244eb8c6b1a8-6415396d35c0,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,d703306ab9dc99a579cf29ee65683b6a5b807345,54081208,617.0,complete,source_exact_runtime_required,244eb8c6b1a89d65769a3ecc315fcd39809dfc3243dd2067f3ca24b29cb8b498,6415396d35c0f4b3d69ee6c231337968cc9f2d5d0767de801346d6f412c18e62,787837f8052216fcc5b37e16e84b8745a798281849120b211aa4d1810c4a7c00,artifacts/submissions/s042-souta-libraryout-crustle-great-tusk-clean.tar.gz,,
043,pilkwang-lucario-alakazam,043 Pilkwang Lucario Alakazam,46aae79654ec-7b413177e507,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,9cd1680093fe6df4205488288a0a4d436e6c35f5,54081359,621.3,complete,source_exact_runtime_required,46aae79654eca7d91e9a3c840d92e38d3ac6271b052379df43dc630163f68225,7b413177e5077777f2178143839c0155b03b92bbc8b3a6607621a7d43f351141,6cc8402ec291dc75277f88f548c6a3393f79d2791dc12424066235a519e311b7,artifacts/submissions/s043-pilkwang-lucario-alakazam-clean.tar.gz,,
044,tomato-archaludon-vs-starmie,044 Tomato Archaludon vs Starmie,03216723e42e-42165967b565,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,421d7cf0b5490dc927fe5b30ebf2610fb2b6737d,54081459,765.8,complete,source_exact_runtime_required,03216723e42e8dffa67a5ded172f23512a3f1f0540205cc815e8fd90dd3a3313,42165967b565dd42ec426ecccfe79bfa7d72aa8306590e149dface0ee8bd530e,e7e1e346054f6d482e1b890b8a67eb68fd7bc167a6a5642bbe516287c2eb2486,artifacts/submissions/s045-tomato-archaludon-vs-starmie-clean.tar.gz,https://www.kaggle.com/code/masamikobayashi/a-sample-archaludon-75-wr-vs-my-1300-starmie,false
045,seok-strongstart-turn-search,045 Seok Strongstart Turn Search,a3faf762fe9d-b4464eb525a2,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,effeff25f064d52f9e62a42f52c9e0e0e134a4ce,54081538,608.3,complete,source_exact_runtime_required,a3faf762fe9da0efc58e9916a746cc1b4a12539bb2d55f8ed0043da4799d6211,b4464eb525a25e6598a972d00efc5e5b5156372e77f51853f4076d8ebb34fd7d,fcf837d7c90650072fa695f8753886151ae6cb289b7c86e67325989e32ebc9ae,artifacts/submissions/s044-seok-strongstart-turn-search-clean.tar.gz,,
046,final-pilkwang-lucario-alakazam,046 Final Pilkwang Lucario Alakazam,46aae79654ec-7b413177e507,f46b15bfa6d2ab5eb2de3996d84837ea38a08cd0,352da4c97f63c8638001d09be3788071202c0cfc,54081636,779.3,complete,source_exact_runtime_required,46aae79654eca7d91e9a3c840d92e38d3ac6271b052379df43dc630163f68225,7b413177e5077777f2178143839c0155b03b92bbc8b3a6607621a7d43f351141,6cc8402ec291dc75277f88f548c6a3393f79d2791dc12424066235a519e311b7,artifacts/submissions/s043-pilkwang-lucario-alakazam-clean.tar.gz,,
